Reference, Value, Footprint, Datasheet, Description, Supplier 1, Supplier 1 Part No, Supplier 1 Cost, Manufacturer, Manufacturer Part No
BT1,18650 LiIon Cell,REInnovationFootprint:TH_LiIon_Holder,,18650 PCB mount holder,eBay,http://www.ebay.co.uk/itm/122466718109,0.50,,
SC1,PV <2W 5.5V,REInnovationFootprint:PV_130mmx65mm_NoOutline,,1-2W solar PV module,Aliexpress,,2.5,,
DCDC1,DC-DC,REInnovationFootprint:TH_DCDC_Converter_USB,,,Aliexpress,,1.5,,
U1,BQ24210,REInnovationFootprint:SM_WSON-10-2x3,http://www.ti.com/lit/ds/symlink/bq24210.pdf,LiIon Charger 800mA PV Input,RS,742-2836,2.88,Texas Instruments,BQ24210
D2,CHG,REInnovationFootprint:TH_LED-5MM_larg_pad,,,,,0.05,,
D3,PG,REInnovationFootprint:TH_LED-5MM_larg_pad,,,,,0.05,,
R3,2.2k,REInnovationFootprint:TH_Resistor_1,,,,,0.01,,
R4,2.2k,REInnovationFootprint:TH_Resistor_1,,,,,0.01,,
C1,1uF,matts_components:C1V7_lg_pad_lg_hole,,,,,0.1,,
C2,1uF,matts_components:C1V7_lg_pad_lg_hole,,,,,0.10,,
R1,1k,REInnovationFootprint:TH_Resistor_1,,,,,0.01,,
P2,LiIon Cell V,REInnovationFootprint:SIL_2_screw_+_JST_2mm,
SW1,5V ON,REInnovationFootprint:SW_SPDT_R_Angle_ALIEX,,,Aliexpress,,0.2,,
R2,100k,REInnovationFootprint:TH_Resistor_1,,,,,0.01,,
LG1,LOGO1,CuriousElectric3:CEC_Globe_10mm_FCU,
LG2,LOGO2,CuriousElectric3:TCEC_Words_13mm,
P1,5V OUT,REInnovationFootprint:SIL-2_screw_terminal,
P3,PV IN 1,REInnovationFootprint:SIL_2_screw_+_JST_2mm,
P4,PV IN 2,REInnovationFootprint:SIL_2_screw_+_JST_2mm,
PCB1,PCB,REInnovationFootprint:PCB_65x90mm,
DCDC2,DC-DC,REInnovationFootprint:TH_DCDC_Converter_NoUSB,,,Aliexpress,,1,,
P6,5V OUT,REInnovationFootprint:SIL-2_screw_terminal,
P5,LiIon Cell V,REInnovationFootprint:SIL_2_screw_+_JST_2mm,
